Name,Mana Cost,Mana Value,Rarity,Set Code,Type,Image URL
Blessed Defiance,{W},1.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/5/1555cdcb-3471-4ee7-99c3-d05311bf433c.jpg?1634346564
Blood Pact,{2}{B},3.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/0/607b1066-1ca0-45e1-a55c-30aed77cc8dc.jpg?1634349552
Bloodline Culling,{1}{B}{B},3.0,rare,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/0/0069688d-6fc8-466e-8b53-11f0ada87b21.jpg?1641079766
Bloodthirsty Adversary,{1}{R},2.0,mythic,mid,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/9/196e21ed-6523-40a5-9d53-5864c7dca2cf.jpg?1641169620
Bloodtithe Collector,{4}{B},5.0,uncommon,mid,Creature — Vampire Noble,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/7/57d5e536-7774-4949-8127-727ae4d8fc80.jpg?1634349600
Borrowed Time,{2}{W},3.0,uncommon,mid,Enchantment,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/e/3eeef24b-b937-408e-a32e-1a546d3e7b0f.jpg?1634346590
Bounding Wolf,{2}{G},3.0,common,mid,Creature — Wolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/4/74e22ed6-9d39-4feb-8c64-64cdd8313816.jpg?1636223903
Bramble Armor,{1}{G},2.0,common,mid,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/2/621b58aa-c809-4baf-b2c8-3a46969598d7.jpg?1636223926
Briarbridge Tracker,{2}{G},3.0,rare,mid,Creature — Human Scout,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/f/3f1db00c-c9fd-48d8-b7d5-c39f8e213232.jpg?1641172199
Brimstone Vandal,{2}{R},3.0,common,mid,Creature — Devil,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/0/10addf9a-daca-4b84-a9d3-f98f7b955af9.jpg?1634350435
Brood Weaver,{3}{G},4.0,uncommon,mid,Creature — Spider,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/2/e24e2f49-70f9-445f-af03-2ef43798004a.jpg?1636223973
Brutal Cathar,{2}{W},3.0,rare,mid,Creature — Human Soldier Werewolf // Creature — Werewolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/d/0dbac7ce-a6fa-466e-b6ba-173cf2dec98e.jpg?1634347036
Burly Breaker,{3}{G}{G},5.0,uncommon,mid,Creature — Human Werewolf // Creature — Werewolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/b/1b50c98e-6c3b-4129-ae93-10c0bf9270fc.jpg?1636416272
Burn Down the House,{3}{R}{R},5.0,rare,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/0/20ded7af-8086-465e-a980-3099217d324c.jpg?1634350460
Burn the Accursed,{4}{R},5.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/f/ff4d4e6b-564d-46da-8e32-09ed08c8ddc5.jpg?1634350484
Can't Stay Away,{W}{B},2.0,rare,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/c/3ccfebf1-add1-4f62-bffa-9023dea5b7c4.jpg?1636683827
Candlegrove Witch,{1}{W},2.0,common,mid,Creature — Human Warlock,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/8/482c0eab-326b-41db-9be6-f98d15bbd0af.jpg?1636335797
Candlelit Cavalry,{4}{G},5.0,common,mid,Creature — Human Knight,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/4/a4c3bd60-1ff6-4136-9188-d0620fd299a7.jpg?1636224038
Candletrap,{W},1.0,common,mid,Enchantment — Aura,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/2/32869a36-f21e-4348-a787-871daa6151df.jpg?1634346639
Cathar Commando,{1}{W},2.0,common,mid,Creature — Human Soldier,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/8/98cbc1c2-b76e-4da3-aa43-00e10b2ce532.jpg?1634346664
Cathar's Call,{2}{W},3.0,uncommon,mid,Enchantment — Aura,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/0/10d044a9-0149-4302-86e5-90623e54e36b.jpg?1634346694
Cathartic Pyre,{1}{R},2.0,uncommon,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/0/b045c28a-39f9-4cd9-8f3a-a626b697f409.jpg?1636208222
Celestus Sanctifier,{2}{W},3.0,common,mid,Creature — Human Cleric,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/7/67547253-ab98-4d3a-bf95-3e109cf60a85.jpg?1634346717
Champion of the Perished,{B},1.0,rare,mid,Creature — Zombie,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/b/1b384260-9bf9-40f4-8a49-cc4936531a89.jpg?1641079792
Chaplain of Alms,{W},1.0,uncommon,mid,Creature — Human Cleric // Creature — Spirit Cleric,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/0/20e94e17-2e4c-41cd-8cc5-39ab41037287.jpg?1634347082
Clarion Cathars,{3}{W},4.0,common,mid,Creature — Human Knight,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/9/89f8ea28-7de1-4908-8e2d-b1aeff651015.jpg?1634346745
Clear Shot,{2}{G},3.0,uncommon,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/7/27476d9c-006d-4227-a5f2-49c7234b84a1.jpg?1636224065
Component Collector,{2}{U},3.0,common,mid,Creature — Homunculus,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/5/956b74fc-1355-4668-838b-e8927794608c.jpg?1634348673
Consider,{U},1.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/b/0b3f40a0-5f58-4157-aed9-b1a52e922c3c.jpg?1640827156
Consuming Blob,{3}{G}{G},5.0,mythic,mid,Creature — Ooze,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/5/4540fa4b-93e8-4749-a839-9a6e816c1145.jpg?1636224089
Contortionist Troupe,{X}{G},1.0,uncommon,mid,Creature — Human,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/8/c81da535-04e4-4dc8-9e12-7b417aba2f39.jpg?1636224116
Corpse Cobble,{U}{B},2.0,uncommon,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/f/dfe4f48d-179a-47d7-aed6-9751dd2f7d8c.jpg?1636683863
Covert Cutpurse,{2}{B},3.0,uncommon,mid,Creature — Human Rogue // Creature — Spirit Rogue,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/d/5db99746-8aee-42b8-acb0-ed69933d0ff8.jpg?1634347752
Covetous Castaway,{1}{U},2.0,uncommon,mid,Creature — Human // Creature — Spirit,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/3/03a3ea4b-d292-4602-985f-7a7971ca73ec.jpg?1634433828
Crawl from the Cellar,{B},1.0,common,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/d/ed6c8942-d43e-4456-ac98-3220cb954c65.jpg?1634349655
Croaking Counterpart,{1}{G}{U},3.0,rare,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/7/57cbd312-a0ee-4dc8-9d23-9d54aa0a70b3.jpg?1641177851
Crossroads Candleguide,{4},4.0,common,mid,Artifact Creature — Scarecrow,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/c/5cad1524-9e75-47e0-b817-47110634802a.jpg?1637114536
Curse of Leeches,{2}{B},3.0,rare,mid,Enchantment — Aura Curse // Creature — Leech Horror,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/a/0a3c8532-92f5-41db-92b4-a871aa05e0c7.jpg?1634347802
Curse of Shaken Faith,{1}{R},2.0,rare,mid,Enchantment — Aura Curse,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/7/371b7795-5cfc-4e2b-b26c-2def52c61dbf.jpg?1634350529
Curse of Silence,{W},1.0,rare,mid,Enchantment — Aura Curse,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/1/719030bb-59f9-4d42-b7be-7f06e9cada4d.jpg?1640979882
Curse of Surveillance,{4}{U},5.0,rare,mid,Enchantment — Aura Curse,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/8/88f9995c-c8f4-48d8-8ee0-65c168af2005.jpg?1641069753
Dawnhart Mentor,{2}{G},3.0,uncommon,mid,Creature — Human Warlock,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/3/234a09dd-a202-4487-899f-348744143ba5.jpg?1636224143
Dawnhart Rejuvenator,{3}{G},4.0,common,mid,Creature — Human Warlock,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/9/19b0e267-c361-4224-9b7a-2a3d1c5ac8b4.jpg?1636415446
Dawnhart Wardens,{1}{G}{W},3.0,uncommon,mid,Creature — Human Warlock,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/4/54c410dc-123c-4431-9ccb-3f17e6555d68.jpg?1636510820
Deathbonnet Sprout,{G},1.0,uncommon,mid,Creature — Fungus // Creature — Fungus Horror,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/2/a2cda10b-7cd5-4cf5-87bd-c3b8c6aa2b47.jpg?1636224226
Defend the Celestus,{2}{G}{G},4.0,uncommon,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/1/c11e4420-06f3-48e2-91d1-a9199483add2.jpg?1636224253
Defenestrate,{2}{B},3.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/f/df3abdcc-83a8-45c3-9bfd-23f929705018.jpg?1634349688
Delver of Secrets,{U},1.0,uncommon,mid,Creature — Human Wizard // Creature — Human Insect,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/b/abff6c81-65a4-48fa-ba8f-580f87b0344a.jpg?1634347351
"Dennick, Pious Apprentice",{W}{U},2.0,rare,mid,Legendary Creature — Human Soldier // Legendary Creature — Spirit Soldier,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/5/35cf2d72-931f-47b1-a1b4-916f0383551a.jpg?1636683976
Deserted Beach,,0.0,rare,mid,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/8/38367ee5-154b-44cb-8974-422038d039df.jpg?1637114746
Devious Cover-Up,{2}{U}{U},4.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/4/648281fe-89fb-4d8d-b944-3af28fb044f6.jpg?1634348751
Devoted Grafkeeper,{W}{U},2.0,uncommon,mid,Creature — Human Peasant // Creature — Spirit,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/6/965e6bd5-dc32-406c-bc99-ceb15be4d3f2.jpg?1636684052
Dire-Strain Rampage,{1}{R}{G},3.0,rare,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/f/0f4a7c01-95ca-43bf-bc53-875cfb4bffa1.jpg?1636684088
Diregraf Horde,{4}{B},5.0,common,mid,Creature — Zombie,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/5/153be768-ddad-44f2-bcdd-c40353c807d7.jpg?1634349717
Diregraf Rebirth,{3}{B}{G},5.0,uncommon,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/5/b51ed1ea-661e-49c6-9751-1eb7bb651bb1.jpg?1636684125
Dissipate,{1}{U}{U},3.0,uncommon,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/6/4689b3f2-e4b7-448e-b3d4-ab33194aafb2.jpg?1634348774
Dreadhound,{4}{B}{B},6.0,uncommon,mid,Creature — Demon Dog,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/7/27fd571b-8316-4c60-a042-8bcf4816b126.jpg?1634349745
Drownyard Amalgam,{4}{U},5.0,common,mid,Creature — Zombie Horror,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/1/71b05d44-d987-45e1-bbd9-842dbe58c2b5.jpg?1634348796
Dryad's Revival,{2}{G},3.0,uncommon,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/c/5c0aa3eb-0aa8-42da-b437-a3f336df585d.jpg?1636224278
Duel for Dominance,{1}{G},2.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/b/9bb0a0c8-158e-4a6f-976e-3de9f57c3463.jpg?1636224300
Duelcraft Trainer,{3}{W},4.0,uncommon,mid,Creature — Human Soldier,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/b/6b75855c-88dc-4491-8045-080debfeb7b5.jpg?1634346793
Duress,{B},1.0,common,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/0/c0a72721-2a4a-4d48-a7b0-2370b90b8619.jpg?1634349768
Eaten Alive,{B},1.0,common,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/7/e7975a3c-570a-4bff-a60d-d274f758b93f.jpg?1634349790
Eccentric Farmer,{2}{G},3.0,common,mid,Creature — Human Peasant,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/5/b5339f6e-9ed7-4734-91c9-c2ed59ca1052.jpg?1636224326
Ecstatic Awakener,{B},1.0,common,mid,Creature — Human Wizard // Creature — Demon,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/b/bbdad18e-e262-41f9-b252-1cbdcdd1b5f9.jpg?1634347857
Electric Revelation,{2}{R},3.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/0/20ff3289-00fb-4e91-b34f-6255e9de8e9e.jpg?1634350551
Enduring Angel,{2}{W}{W}{W},5.0,mythic,mid,Creature — Angel // Creature — Angel,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/1/71c5c242-572c-4f24-b4c2-64c470070090.jpg?1640979908
Evolving Wilds,,0.0,common,mid,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/b/cb471f90-46f2-4037-87fc-f523fc9d004f.jpg?1637114771
Fading Hope,{U},1.0,uncommon,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/2/c2fb1fff-12be-4bd5-8dba-c36e84d49651.jpg?1634348819
Faithful Mending,{W}{U},2.0,uncommon,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/0/50752ca9-ea85-4c4b-9bf5-4f8759a7dcec.jpg?1636684159
Falcon Abomination,{2}{U},3.0,common,mid,Creature — Zombie Bird,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/0/f0668413-859d-4ec4-a4d8-17ec7f5b1b8b.jpg?1634348844
Falkenrath Perforator,{1}{R},2.0,common,mid,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/4/c40998e0-d7d0-4d79-a40a-9a381debd2cb.jpg?1634350581
Falkenrath Pit Fighter,{R},1.0,rare,mid,Creature — Vampire Warrior,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/7/a743a3b6-3278-4644-a2d5-acf495c273ed.jpg?1634350603
Famished Foragers,{3}{R},4.0,common,mid,Creature — Vampire,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/d/fdbe6937-ceda-4367-a101-562fd5e0e09d.jpg?1636222893
Fangblade Brigand,{3}{R},4.0,uncommon,mid,Creature — Human Werewolf // Creature — Werewolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/5/35e17f53-021b-484b-9ede-524742fe8aae.jpg?1636412641
Fateful Absence,{1}{W},2.0,rare,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/5/25bf1ab2-4d6b-4e81-b537-82889aab767d.jpg?1640979958
Festival Crasher,{1}{R},2.0,common,mid,Creature — Devil,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/2/626b0477-6165-443a-8a75-dfeac26ac9f9.jpg?1636222973
Field of Ruin,,0.0,uncommon,mid,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/5/d510eece-4f55-4198-83fe-5291a76ffdcc.jpg?1637114800
Firmament Sage,{3}{U},4.0,uncommon,mid,Creature — Human Wizard,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/d/9db186a1-3dc5-4ed2-8cd4-1e4f13094885.jpg?1634348872
Flame Channeler,{1}{R},2.0,uncommon,mid,Creature — Human Wizard // Creature — Elemental Wizard,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/e/be91fcba-4599-4ecb-824d-55112096c34a.jpg?1636223023
Flare of Faith,{1}{W},2.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/b/1b4354c6-ea21-46c0-93c4-744dbacbfcf4.jpg?1634346842
Fleshtaker,{W}{B},2.0,uncommon,mid,Creature — Human Assassin,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/e/2ed8c0ef-2b53-49b5-bc2f-428628cb3975.jpg?1636684197
Flip the Switch,{2}{U},3.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/c/5cdbe4e3-f030-46fa-ae84-edf261b61706.jpg?1634348893
"Florian, Voldaren Scion",{1}{B}{R},3.0,rare,mid,Legendary Creature — Vampire Noble,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/3/53289e69-74da-46d2-91c2-a11378ba76ef.jpg?1636684231
Forest,,0.0,common,mid,Basic Land — Forest,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/2/122b5548-5ff5-43e4-b799-75c709b1c32d.jpg?1637115218
Foul Play,{1}{B},2.0,uncommon,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/7/87e4b75c-e993-4983-8933-977be314bba6.jpg?1634349812
Galedrifter,{3}{U},4.0,common,mid,Creature — Hippogriff // Creature — Hippogriff Spirit,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/b/eb34c472-c6ff-4d83-ac8b-a8f279593f98.jpg?1634347399
Galvanic Iteration,{U}{R},2.0,rare,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/5/a5f8ee5b-e1f5-4bc8-8ca3-d8308d71f2b9.jpg?1636684270
Gavony Dawnguard,{1}{W}{W},3.0,uncommon,mid,Creature — Human Soldier,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/8/58891dae-1c59-4f53-82ec-5b4c47133182.jpg?1634348150
Gavony Silversmith,{3}{W},4.0,common,mid,Creature — Human Soldier,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/c/2c53b007-96aa-4db6-8c3e-529d1e845b19.jpg?1634348173
Gavony Trapper,{W},1.0,common,mid,Creature — Human Soldier,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/a/5a1309ea-4411-4116-841f-5aef8611400c.jpg?1634348201
Geistflame Reservoir,{2}{R},3.0,rare,mid,Artifact,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/b/4b247ce7-9c58-404f-bed1-84abb37575ab.jpg?1636223046
Geistwave,{1}{U},2.0,common,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/0/f0e3d1ac-bec2-4bba-a6cf-a823996dde2d.jpg?1634348915
Ghoulcaller's Harvest,{B}{G},2.0,rare,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/a/6a507ea6-d818-4443-b468-cf65c3e7031c.jpg?1636684311
Ghoulish Procession,{1}{B},2.0,uncommon,mid,Enchantment,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/6/363bd6a6-e8e4-4626-a43c-0b77339dd28b.jpg?1634349836
"Gisa, Glorious Resurrector",{2}{B}{B},4.0,rare,mid,Legendary Creature — Human Wizard,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/3/63461076-a13d-488d-bd82-ceac441341c8.jpg?1634349861
Grafted Identity,{2}{U}{U},4.0,rare,mid,Enchantment — Aura,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/b/0bebd764-e5ed-4164-a9f8-3c595691eb49.jpg?1631844983
Graveyard Trespasser,{2}{B},3.0,rare,mid,Creature — Human Werewolf // Creature — Werewolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/1/41932ef6-0f64-40c1-946c-679976326e2d.jpg?1636335969
Grizzly Ghoul,{2}{B}{G},4.0,uncommon,mid,Creature — Zombie Bear,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/e/eec421f1-4ee8-4816-ab5c-372e87aae231.jpg?1636684344
Hallowed Respite,{W}{U},2.0,rare,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/f/0f2e89f2-6101-4ada-b925-2ae6f754b39e.jpg?1641241719
Harvesttide Infiltrator,{2}{R},3.0,common,mid,Creature — Human Werewolf // Creature — Werewolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/8/28bc2848-b6fb-444d-b909-01c712696547.jpg?1636412696
Harvesttide Sentry,{1}{G},2.0,common,mid,Creature — Human Warrior,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/5/9543cf53-8cf5-49d0-9c60-8b11e21da953.jpg?1636224350
Haunted Ridge,,0.0,rare,mid,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/1/91f67a64-b97d-473a-be9d-c8044ff86605.jpg?1634435068
Hedgewitch's Mask,{W},1.0,common,mid,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/7/97321072-1f7f-413b-9246-e6b3ec7a8c30.jpg?1634348225
Heirloom Mirror,{1}{B},2.0,uncommon,mid,Artifact // Creature — Demon,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/6/e6dd05f0-a3c0-4bd6-a1d1-a74540623093.jpg?1634347950
Hobbling Zombie,{2}{B},3.0,common,mid,Creature — Zombie,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/8/68284193-a38e-40d2-8d15-92d223756751.jpg?1634349884
Homestead Courage,{W},1.0,common,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/3/73a9c49f-fcd3-4572-bac7-6eb06fdc0815.jpg?1634348250
Hostile Hostel,,0.0,mythic,mid,Land // Artifact Creature — Horror Construct,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/4/14d27a38-6ed1-499e-ab30-26e04a56c071.jpg?1641241956
Hound Tamer,{2}{G},3.0,uncommon,mid,Creature — Human Werewolf // Creature — Werewolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/8/28e2119b-ed78-4b98-a956-f2b453d0b164.jpg?1636224412
Howl of the Hunt,{2}{G},3.0,common,mid,Enchantment — Aura,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/a/7a48a42e-5cc5-4f9a-8745-99936f4cae5f.jpg?1636224441
Hungry for More,{B}{R},2.0,uncommon,mid,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/e/ce09c0df-d022-4ebf-8f7f-8a913249e75f.jpg?1636684429
Immolation,{R},1.0,common,mid,Enchantment — Aura,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/0/606b1148-4aa6-4d78-bedd-e31573282921.jpg?1636223098
Infernal Grasp,{1}{B},2.0,uncommon,mid,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/6/0655bae1-d33b-4bac-856a-ca4518f192e8.jpg?1640721687
Intrepid Adversary,{1}{W},2.0,mythic,mid,Creature — Human Scout,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/5/651d249f-6771-41ed-8ccf-c8fa85419a75.jpg?1640979984
Island,,0.0,common,mid,Basic Land — Island,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/0/60e6b919-e7c0-4844-a65c-d8b83b3e5287.jpg?1637115268
Jack-o'-Lantern,{1},1.0,common,mid,Artifact,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/1/21b589ab-45a0-480a-a891-581c34f8a9bf.jpg?1637114561
"Jadar, Ghoulcaller of Nephalia",{1}{B},2.0,rare,mid,Legendary Creature — Human Wizard,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/2/f29ec5be-501c-4a5d-8b2a-f974c6cf06c6.jpg?1640879821
