Name,Mana Cost,Mana Value,Rarity,Set Code,Type,Image URL
Chaos Channeler,{2}{R}{R},4.0,uncommon,afr,Creature — Human Shaman,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/b/7b9bb587-f732-42c9-a2a7-152629889997.jpg?1627706019
Charmed Sleep,{1}{U}{U},3.0,common,afr,Enchantment — Aura,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/2/4238ad00-af9c-4535-a589-c5afb0d2ec57.jpg?1627756253
Check for Traps,{1}{B},2.0,uncommon,afr,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/f/6f58ea8a-30ac-45b0-a701-8b8d8262cfcf.jpg?1627704461
Choose Your Weapon,{2}{G},3.0,uncommon,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/1/213726e4-e2f5-4e52-b05a-21c4bab9927c.jpg?1627707229
Circle of Dreams Druid,{G}{G}{G},3.0,rare,afr,Creature — Elf Druid,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/e/be6fdec0-a2c4-4da2-ae14-961185eaee66.jpg?1627707261
Circle of the Moon Druid,{2}{G},3.0,common,afr,Creature — Human Elf Druid,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/0/700c9ed8-6bfe-4f1e-855a-5f31e0d2fc9b.jpg?1627707288
Clattering Skeletons,{3}{B},4.0,common,afr,Creature — Skeleton,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/9/09ac0b2b-d4d3-4977-b241-7788239362de.jpg?1627704485
Cleric Class,{W},1.0,uncommon,afr,Enchantment — Class,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/7/47ce8b7e-d8e1-489a-a69e-99089eeb8739.jpg?1627701390
Clever Conjurer,{2}{U},3.0,common,afr,Creature — Gnome Wizard,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/9/b9784c97-3839-4a4b-ae8a-965844dbeb70.jpg?1627769099
Cloister Gargoyle,{2}{W},3.0,uncommon,afr,Artifact Creature — Gargoyle,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/9/297bf274-d13d-4b75-b251-2d004b16b431.jpg?1627701438
Compelled Duel,{1}{G},2.0,common,afr,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/a/2a7e501d-943e-4e6d-9d8e-6bedc32a0dd8.jpg?1627707330
Contact Other Plane,{3}{U},4.0,common,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/6/a6fefb38-c6f2-43c4-a6b9-ac82f8827bc2.jpg?1627703039
Critical Hit,{1}{R},2.0,uncommon,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/2/d2e9aaaf-0b51-4721-b75c-923892a41743.jpg?1627706043
Dancing Sword,{1}{W},2.0,rare,afr,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/b/8b8b5883-b2e7-4c56-89b5-b40fb8416a3a.jpg?1632360991
Dawnbringer Cleric,{1}{W},2.0,common,afr,Creature — Human Cleric,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/0/c00856f7-fef5-4ba5-9079-59a81d452c82.jpg?1627701517
Deadly Dispute,{1}{B},2.0,common,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/3/7373fe95-ad1c-44b9-8c7f-464ce8cbffc6.jpg?1627704524
Death-Priest of Myrkul,{2}{B}{B},4.0,uncommon,afr,Creature — Tiefling Cleric,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/2/126b2636-030a-4a0e-9307-54c3372afb52.jpg?1627704557
"Delina, Wild Mage",{3}{R},4.0,rare,afr,Legendary Creature — Elf Shaman,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/4/c4f1dc68-868b-4f3f-b10a-62842d88edc4.jpg?1627711586
Delver's Torch,{1}{W},2.0,common,afr,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/3/53df7b80-71bf-4013-ad44-f76eae8ac81b.jpg?1627701548
Demilich,{U}{U}{U}{U},4.0,mythic,afr,Creature — Skeleton Wizard,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/a/0a1351ed-b9df-4a6d-aaa1-ec6db673d265.jpg?1639436596
Demogorgon's Clutches,{2}{B},3.0,uncommon,afr,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/8/581e7ac6-65e5-4a16-ab0b-0988c3a3cfea.jpg?1627704588
Den of the Bugbear,,0.0,rare,afr,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/6/565be37a-4c14-420b-a07c-18e21f7fd731.jpg?1627777500
Devoted Paladin,{4}{W},5.0,common,afr,Creature — Orc Knight,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/6/3620ed96-1d15-4942-b9e5-9f9a64b0cab4.jpg?1627701579
Devour Intellect,{B},1.0,common,afr,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/3/13c34f2d-2eac-4241-8b23-9cab3268c254.jpg?1627704636
Dire Wolf Prowler,{2}{G},3.0,common,afr,Creature — Wolf,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/a/4ab4769d-31ba-40d3-9375-494b93f01183.jpg?1627707358
Displacer Beast,{2}{U},3.0,uncommon,afr,Creature — Cat Beast,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/6/8646ae5c-e757-4d16-bf2a-d48770d620fa.jpg?1627711276
Divine Smite,{1}{W},2.0,uncommon,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/b/6b8d0852-4df3-4b29-830d-c6975265ef53.jpg?1627701606
Djinni Windseer,{3}{U},4.0,common,afr,Creature — Djinn,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/7/67a42698-bf3b-4352-8178-9c98abfc5b09.jpg?1627703150
Dragon Turtle,{1}{U}{U},3.0,rare,afr,Creature — Dragon Turtle,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/4/d436ba80-386f-40ad-b0ca-a98cc50de964.jpg?1627703189
Dragon's Disciple,{1}{W},2.0,uncommon,afr,Creature — Human Monk,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/e/9e5e6b78-3e99-49f5-9eaf-bbb2e9789fbe.jpg?1627701640
Dragon's Fire,{1}{R},2.0,common,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/6/9666987a-5267-46d3-9b00-31baa92a9cbc.jpg?1627706098
Drider,{4}{B},5.0,uncommon,afr,Creature — Elf Spider,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/b/bbc06a88-1eb6-4edb-8f03-d8274560cc41.jpg?1627704668
Drizzt Do'Urden,{3}{G}{W},5.0,rare,afr,Legendary Creature — Elf Ranger,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/6/46e3259e-93c2-48c0-8b96-835cdb883383.jpg?1627708841
Druid Class,{1}{G},2.0,uncommon,afr,Enchantment — Class,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/9/09278e95-eaae-4cd4-a0d8-a2d15b0abb58.jpg?1639436614
Dueling Rapier,{R},1.0,common,afr,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/3/c304118a-c83b-490a-b0e2-721734a996ee.jpg?1627706130
Dungeon Crawler,{B},1.0,uncommon,afr,Creature — Zombie,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/1/4138b66d-cf18-42a5-8522-241bd3969624.jpg?1627704694
Dungeon Descent,,0.0,rare,afr,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/9/b9c7b02d-ac45-45b1-9f1b-2dbd2b5c3cdc.jpg?1627777554
Dungeon Map,{3},3.0,uncommon,afr,Artifact,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/2/028506ad-ad36-44e5-b488-d038e2d2445f.jpg?1627709732
Dwarfhold Champion,{1}{W},2.0,common,afr,Creature — Dwarf Warrior,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/4/2404a028-05f5-469b-80e0-e820721ff266.jpg?1627701668
Earth-Cult Elemental,{4}{R}{R},6.0,common,afr,Creature — Elemental,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/a/fa05f317-b2f8-4eea-951b-0c374774764b.jpg?1627706157
"Ebondeath, Dracolich",{2}{B}{B},4.0,mythic,afr,Legendary Creature — Zombie Dragon,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/6/e6b3f460-92ba-4af0-aad9-cf86615d4177.jpg?1627704720
Eccentric Apprentice,{2}{U},3.0,uncommon,afr,Creature — Tiefling Wizard,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/b/3baa08ac-9a94-4e22-91bb-c6966cd0a0de.jpg?1627703226
Ellywick Tumblestrum,{2}{G}{G},4.0,mythic,afr,Legendary Planeswalker — Ellywick,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/3/038c97e5-87b2-4534-af7c-f4772f61469c.jpg?1627769302
Elturgard Ranger,{4}{G},5.0,common,afr,Creature — Human Elf Ranger,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/6/f6898737-957f-44a6-bef7-fb196658176f.jpg?1627707474
Evolving Wilds,,0.0,common,afr,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/1/71afb548-691d-4c72-b369-85f9b451c71d.jpg?1627710206
Eye of Vecna,{2},2.0,rare,afr,Legendary Artifact,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/9/69f305d0-f610-400d-a365-6d9afcfb6ab8.jpg?1632415799
Eyes of the Beholder,{4}{B}{B},6.0,common,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/f/3f9e5402-690f-497d-ada3-aa41fa900fdd.jpg?1627704757
Farideh's Fireball,{3}{R}{R},5.0,common,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/7/57a46987-f05a-4b83-af56-f18000874e65.jpg?1627706196
"Farideh, Devil's Chosen",{2}{U}{R},4.0,uncommon,afr,Legendary Creature — Tiefling Warlock,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/b/1b2ff142-029b-4446-960a-2ff200fb9aee.jpg?1627708878
Fates' Reversal,{1}{B},2.0,common,afr,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/9/19ff3d76-e985-4d8d-837e-89360cc23824.jpg?1627704784
Feign Death,{B},1.0,common,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/2/32af7061-fca6-4a06-be3c-01881e6b96f7.jpg?1627704817
Feywild Trickster,{2}{U},3.0,uncommon,afr,Creature — Gnome Warlock,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/9/c93e0296-69e0-45e0-a1c2-0214a53c52d0.jpg?1627703260
Fifty Feet of Rope,{1},1.0,uncommon,afr,Artifact,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/a/ba7ebe7b-732f-4245-a194-e087c3878f61.jpg?1627709788
Fighter Class,{R}{W},2.0,rare,afr,Enchantment — Class,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/5/d54a8329-b940-42c9-8ace-1d74407d14cb.jpg?1627708909
Find the Path,{2}{G},3.0,common,afr,Enchantment — Aura,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/a/5afe37a0-ccc3-467a-b787-304465b38355.jpg?1627707514
Flameskull,{1}{R}{R},3.0,mythic,afr,Creature — Skeleton,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/2/32d3f766-4098-4023-9a23-e9ff6722b66d.jpg?1627706222
Flumph,{1}{W},2.0,rare,afr,Creature — Jellyfish,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/6/263501c5-dec0-4c01-8129-61f9fdd22b54.jpg?1632361015
Fly,{U},1.0,uncommon,afr,Enchantment — Aura,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/1/f1a91cc6-67e1-4f1b-86e2-eb388a75d6ad.jpg?1627703302
Forest,,0.0,common,afr,Basic Land — Forest,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/c/6cdc5ca9-6d01-4ee3-8117-3c1e74320553.jpg?1627711008
Forsworn Paladin,{B},1.0,rare,afr,Creature — Human Knight,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/a/4acaf396-f950-42da-85ab-149ffb31fee6.jpg?1627704845
Froghemoth,{3}{G}{G},5.0,rare,afr,Creature — Frog Horror,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/2/728e9567-2585-4c03-99a5-3e84fd8044d2.jpg?1627707629
Gelatinous Cube,{2}{B}{B},4.0,rare,afr,Creature — Ooze,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/c/1c472e70-300c-4881-86e7-c5ca690ab9b6.jpg?1627704890
Gloom Stalker,{2}{W},3.0,common,afr,Creature — Dwarf Ranger,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/8/388722ad-dcc6-41b9-afd8-a93be91b30e0.jpg?1627701726
Gnoll Hunter,{1}{G},2.0,common,afr,Creature — Gnoll,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/1/11b8a1e6-a649-4be1-8899-104fffdb2dff.jpg?1627711929
Goblin Javelineer,{R},1.0,common,afr,Creature — Goblin Warrior,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/b/0bf573ba-6471-434b-88fd-c9caa539515a.jpg?1627711622
Goblin Morningstar,{1}{R},2.0,uncommon,afr,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/9/998f3785-c806-4848-adcb-d89ea51159c5.jpg?1627706292
Grand Master of Flowers,{2}{W}{W},4.0,mythic,afr,Legendary Planeswalker — Bahamut,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/c/8ca4ffff-404e-4e8e-8fd6-4e64d4828fc7.jpg?1627701766
"Grazilaxx, Illithid Scholar",{1}{U}{U},3.0,rare,afr,Legendary Creature — Horror,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/4/5480d92e-5c03-49b8-8bdd-fbcce80de998.jpg?1632362493
Greataxe,{1},1.0,common,afr,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/8/e840aef6-eec4-40dd-bbc4-6fd0b2b57805.jpg?1627709815
Green Dragon,{4}{G}{G},6.0,uncommon,afr,Creature — Dragon,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/5/45804134-cc04-4587-9674-2c884964083d.jpg?1627707685
Gretchen Titchwillow,{G}{U},2.0,uncommon,afr,Legendary Creature — Halfling Druid,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/7/07c41d97-7c2f-4d8b-a35d-40d98329a728.jpg?1627712427
Grim Bounty,{2}{B}{B},4.0,common,afr,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/9/b98e0ab1-dea8-492b-a712-2057f2b1d020.jpg?1627704924
Grim Wanderer,{1}{B},2.0,uncommon,afr,Creature — Goblin Warlock,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/3/e339f0f7-a79d-4947-a9c4-b9a0949dd06a.jpg?1627704954
Guardian of Faith,{1}{W}{W},3.0,rare,afr,Creature — Spirit Knight,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/8/08e3dda1-a1d3-48c9-8c81-da7eae20ac8a.jpg?1627701793
Guild Thief,{1}{U},2.0,uncommon,afr,Creature — Orc Rogue,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/d/fd4348ec-fdb1-4c3b-bec5-42513c6c0662.jpg?1627703368
Half-Elf Monk,{3}{W},4.0,common,afr,Creature — Human Elf Monk,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/1/f10f1687-fb20-4ad2-bad7-52e4470b35e4.jpg?1627701847
Hall of Storm Giants,,0.0,rare,afr,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/f/bf8f052d-8840-4905-a807-9a305f4fd8f7.jpg?1627710259
"Hama Pashar, Ruin Seeker",{1}{W}{U},3.0,uncommon,afr,Legendary Creature — Human Wizard,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/2/32a71cdb-d97c-449e-a7cb-af7030164ff4.jpg?1627712465
Hand of Vecna,{3},3.0,rare,afr,Legendary Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/d/ddd0beb7-80dc-4665-bab2-747c795d97db.jpg?1627709846
Herald of Hadar,{4}{B},5.0,common,afr,Creature — Human Warlock,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/a/baa74204-2593-4468-856d-a5791336126a.jpg?1627704997
Hill Giant Herdgorger,{4}{G}{G},6.0,common,afr,Creature — Giant,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/6/b69315cc-c230-4704-9d66-411f624f3e49.jpg?1627707729
Hired Hexblade,{1}{B},2.0,common,afr,Creature — Elf Warlock,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/2/c23cbf01-90d0-4962-92d5-5e1566e8ef4b.jpg?1627705026
Hive of the Eye Tyrant,,0.0,rare,afr,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/1/81b9d17d-3ab0-4755-b396-391df50e70dd.jpg?1627777688
Hoard Robber,{1}{B},2.0,common,afr,Creature — Tiefling Rogue,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/7/b723d9cd-05f5-4894-9f2b-52a434a3019c.jpg?1627705067
Hoarding Ogre,{3}{R},4.0,common,afr,Creature — Ogre,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/f/df39eaac-b13f-4cb3-960d-8f7a0d590663.jpg?1627706327
Hobgoblin Bandit Lord,{1}{R}{R},3.0,rare,afr,Creature — Goblin Rogue,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/9/09e9dc36-f2d8-4384-98cb-e44c00b02433.jpg?1627706357
Hobgoblin Captain,{1}{R},2.0,common,afr,Creature — Goblin Barbarian,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/7/f7c0aa86-fd3b-4e0f-9d37-ce1ea8922243.jpg?1627706385
Hulking Bugbear,{1}{R}{R},3.0,uncommon,afr,Creature — Goblin,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/0/a081f0aa-65ad-4483-991f-1d6159b7560a.jpg?1627711667
Hunter's Mark,{3}{G},4.0,uncommon,afr,Instant,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/2/62023c58-8b94-4a81-a259-a047e1edd342.jpg?1627707761
"Icingdeath, Frost Tyrant",{2}{W}{W},4.0,mythic,afr,Legendary Creature — Dragon,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/6/26b0e68a-9d4e-42ea-8dac-c47cbed0c6ad.jpg?1630107263
Improvised Weaponry,{2}{R},3.0,common,afr,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/9/29d5fd00-c616-4079-a91e-4da0bcaf9120.jpg?1627706453
Inferno of the Star Mounts,{4}{R}{R},6.0,mythic,afr,Legendary Creature — Dragon,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/7/c788c6a6-20d9-4a93-a898-330b085226c4.jpg?1627767538
Ingenious Smith,{1}{W},2.0,uncommon,afr,Creature — Human Artificer,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/a/2ad29773-7c1b-410d-9f69-7aa751f6ebca.jpg?1627701918
Inspiring Bard,{3}{G},4.0,common,afr,Creature — Elf Bard,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/b/0b33db66-d205-4164-b168-6084df562ebb.jpg?1627707800
Instrument of the Bards,{G},1.0,rare,afr,Legendary Artifact,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/0/100fad49-3eac-4a9a-bf39-5b50c995126d.jpg?1632415623
Intrepid Outlander,{1}{G},2.0,uncommon,afr,Creature — Orc Ranger,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/0/30b00777-d921-4264-9faf-5c048b656210.jpg?1627707853
Iron Golem,{4},4.0,uncommon,afr,Artifact Creature — Golem,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/7/47852cc6-a6de-4aed-9650-0c7ce346c3b9.jpg?1627712676
Island,,0.0,common,afr,Basic Land — Island,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/a/1afa60b6-cd0d-4c23-af81-88049ea45475.jpg?1627710673
"Iymrith, Desert Doom",{3}{U}{U},5.0,mythic,afr,Legendary Creature — Dragon,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/3/c3e6025d-d273-4ae4-9929-5e588612f1b3.jpg?1627703415
Jaded Sell-Sword,{3}{R},4.0,common,afr,Creature — Dragon Warrior,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/f/ff5219c0-fb43-47b1-b682-131ba7c70990.jpg?1627706488
"Kalain, Reclusive Painter",{B}{R},2.0,uncommon,afr,Legendary Creature — Human Elf Bard,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/d/5df8cb7c-ad05-473b-9deb-7ce56c6799b8.jpg?1627712505
Keen-Eared Sentry,{1}{W},2.0,uncommon,afr,Creature — Human Soldier,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/e/de169d64-8242-4f57-980e-47f901fd57ab.jpg?1627701963
Kick in the Door,{R},1.0,common,afr,Sorcery,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/2/222102d0-fed3-41fd-87b0-f6d22766d7fd.jpg?1627706518
Krydle of Baldur's Gate,{U}{B},2.0,uncommon,afr,Legendary Creature — Human Elf Rogue,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/5/75f4d622-2d50-4e6e-87a5-5a1cc65d6919.jpg?1627709050
Lair of the Hydra,,0.0,rare,afr,Land,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/c/9c10d359-543a-4d2e-9bbe-23f93a14aa2d.jpg?1627777727
Leather Armor,{1},1.0,common,afr,Artifact — Equipment,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/6/e62d4e76-cdb0-48c7-aa1c-b1f514057b68.jpg?1627709907
Lightfoot Rogue,{1}{B},2.0,uncommon,afr,Creature — Halfling Rogue,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/f/9f88de61-8dee-46b3-91b2-d4cdb4db36bf.jpg?1627705101
Loathsome Troll,{3}{G}{G},5.0,uncommon,afr,Creature — Troll,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/0/50ac66df-760d-495d-a067-13114071b7b8.jpg?1627707881
